"House of Wax","Charles Belden","Jaume Collet-Serra","Elisha Cuthbert"
"Robin Hood","Ken Anderson","Wolfgang Reitherman","Roger Miller"
"Robin Hood: Prince of Thieves","Pen Densham","Kevin Reynolds","Kevin Costner"
"Robin and Marian","James Goldman","Richard Lester","Sean Connery"
"Robinson Crusoe on Mars","Daniel Defoe","Byron Haskin","Paul Mantee"
"RoboCop","Michael Miner","Paul Verhoeven","Peter Weller"
"RoboCop 3","Fred Dekker","Fred Dekker","Robert Burke"
"Robot Monster","Wyott Ordung","Phil Tucker","George Nader"
"Robots","Lowell Ganz","Carlos Saldanha","Paula Abdul"
"Rock 'n' Roll High School","Allan Arkush","Allan Arkush","P.J. Soles"
"Rock Star","John Stockwell","Stephen Herek","Mark Wahlberg"
"The Rock","Douglas Cook","Michael Bay","Sean Connery"
"Rocky","Sylvester Stallone","John Avildsen","Sylvester Stallone"
"The Rocky Horror Picture Show","Richard O'Brien","Jim Sharman","Tim Curry"
"Rocky IV","Sylvester Stallone","Sylvester Stallone","Sylvester Stallone"
"Roger & Me","Michael Moore","Michael Moore","Michael Moore"
"Rogue Trader","James Dearden","James Dearden","Ewan McGregor"
"Rollerball","Larry Ferguson","John McTiernan","Chris Klein"
"Roman Holiday","John Dighton","William Wyler","Gregory Peck"
"Romeo + Juliet","Baz Luhrmann","Baz Luhrmann","Leonardo DiCaprio"
"Romeo Must Die","Eric Bernt","Andrzej Bartkowiak","Jet Li"
"Ronin","David Mamet","John Frankenheimer","De"
"The Rookie","Mike Rich","John Hancock","Dennis Quaid"
"A Room with a View","E.M. Forster","James Ivory","Maggie Smith"
"Rope","Hume Cronyn","Alfred Hitchcock","Dick Hogan"
"The Rose","Michael Cimino","Mark Rydell","Bette Midler"
"Rosemary's Baby","Ira Levin","Roman Polanski","Mia Farrow"
"Rosewood","Gregory Poirier","John Singleton","Jon Voight"
"Rounders","Brian Koppelman","John Dahl","Matt Damon"
"The Royal Tenenbaums","Wes Anderson","Wes Anderson","Gene Hackman"
"Ruby in Paradise","Victor Nunez","Victor Nunez","Ashley Judd"
"The Rugrats Movie","Gabor Csupo","Igor Kovalyov","Christine Cavanaugh"
"Rugrats in Paris: The Movie - Rugrats II","Kate Boutilier","Stig Bergqvist","Tara Strong"
"The Rules of Attraction","Roger Avary","Roger Avary","Beek Van"
"Rules of Engagement","Stephen Gaghan","William Friedkin","Tommy Jones"
"Rumble Fish","Francis Coppola","Francis Coppola","Matt Dillon"
"Runaway Bride","Josann McGibbon","Garry Marshall","Julia Roberts"
"Runaway Jury","Matthew Chapman","Gary Fleder","John Cusack"
"The Rundown","R.J. Stewart","Peter Berg","Dwayne Johnson"
"The Running Man"," de","Paul Glaser","Arnold Schwarzenegger"
"Rush Hour","Jim Kouf","Brett Ratner","Ken Leung"
"Rush Hour 2","Ross LaManna","Brett Ratner","Jackie Chan"
"Rushmore","Wes Anderson","Wes Anderson","Jason Schwartzman"
"Ryan's Daughter","Robert Bolt","David Lean","Robert Mitchum"
"S.W.A.T.","David Ayer","Clark Johnson","Samuel Jackson"
"Sabrina","Ernest Lehman","Billy Wilder","Humphrey Bogart"
"Sabrina","Barbara Benedek","Sydney Pollack","Harrison Ford"
"Sahara","Clive Cussler","Breck Eisner","Matthew McConaughey"
"The Saint","Leslie Charteris","Phillip Noyce","Val Kilmer"
"Saints and Soldiers","Geoffrey Panos","Ryan Little","Corbin Allred"
"The Salton Sea","Tony Gayton","D.J. Caruso","Val Kilmer"
"Salvador","Rick Boyle","Oliver Stone","James Woods"
"Samsara","Tim Baker","Pan Nalin","Shawn Ku"
"San Francisco","Robert Hopkins"," Van","Clark Gable"
"The Sand Pebbles","Robert Anderson","Robert Wise","Steve McQueen"
"Sands of Iwo Jima","Harry Brown","Allan Dwan","John Wayne"
"Santa Claus","David Newman","Jeannot Szwarc","Dudley Moore"
"Santa Claus Conquers the Martians","Paul Jacobson","Nicholas Webster","John Call"
"The Santa Clause 2","Leo Benvenuti","Michael Lembeck","Tim Allen"
"Santa sangre","Claudio Argento","Alejandro Jodorowsky","Axel Jodorowsky"
"Satyricon","Petronius","Gian Polidoro","Tina Aumont"
"Save the Last Dance","Duane Adler","Thomas Carter","Julia Stiles"
"Saved!","Brian Dannelly","Brian Dannelly","Jena Malone"
"Saving Private Ryan","Robert Rodat","Steven Spielberg","Tom Hanks"
"Saving Silverman","Greg DePaul","Dennis Dugan","Steve Zahn"
"Savior","Robert Orr","Predrag Antonijevic","Nastassja Kinski"
"Saw","James Wan","James Wan","Leigh Whannell"
"Say It Isn't So","Peter Gaulke","J.B. Rogers","Chris Klein"
"Scaramouche","George Froeschel","George Sidney","Stewart Granger"
"Scarface","Howard Hawks"," De","Al Pacino"
"The Scarlet Letter"," "," ",""
"Scary Movie","Phil Beauman","Keenen Wayans","Carmen Electra"
"Scary Movie 2","Phil Beauman","Keenen Wayans","Antony Acker"
"Scary Movie 3","Phil Beauman","David Zucker","Pamela Anderson"
"Schindler's List","Thomas Keneally","Steven Spielberg","Liam Neeson"
"Schizopolis","Steven Soderbergh","Steven Soderbergh","Scott Allen"
"School Daze","Spike Lee","Spike Lee","Laurence Fishburne"
"The School of Rock","Mike White","Richard Linklater","Jack Black"
"Scooby-Doo","Joseph Barbera","Raja Gosnell","Prinze"
"The Score","Lem Dobbs","Frank Oz","De"
"The Scorpion King","Jonathan Hales","Chuck Russell","Dwayne Johnson"
"Scream","Kevin Williamson","Wes Craven","Drew Barrymore"
"Scream 2","Kevin Williamson","Wes Craven","Pinkett"
"Scream 3","Ehren Kruger","Wes Craven","Liev Schreiber"
"Screamers","Philip Dick","Christian Duguay","Peter Weller"
"Screwed","Scott Alexander","Scott Alexander","Norm MacDonald"
"Se7en","Andrew Walker","David Fincher","Morgan Freeman"
"The Sea Hawk","Howard Koch","Michael Curtiz","Errol Flynn"
"Seabiscuit","Laura Hillenbrand","Gary Ross","David McCullough"
"The Searchers"," Le","John Ford","John Wayne"
"Secondhand Lions","Tim McCanlies","Tim McCanlies","Michael Caine"
"Secret Window","Stephen King","David Koepp","Johnny Depp"
"Secrets & Lies","Mike Leigh","Mike Leigh","Timothy Spall"
"See Spot Run","Dan Baron","John Whitesell","David Arquette"
"Seed of Chucky","Don Mancini","Don Mancini","Brad Dourif"
"Selena","Gregory Nava","Gregory Nava","Jennifer Lopez"
"Sense and Sensibility","Jane Austen","Ang Lee","James Fleet"
"September","Woody Allen","Woody Allen","Denholm Elliott"
"Serendipity","Marc Klein","Peter Chelsom","John Cusack"
"Sergeant York","Harry Chandlee","Howard Hawks","Gary Cooper"
"Serial Mom","John Waters","John Waters","Kathleen Turner"
"The Serpent and the Rainbow","Wade Davis","Wes Craven","Bill Pullman"
"Serving Sara","David Ronn","Reginald Hudlin","Matthew Perry"
"Session 9","Brad Anderson","Brad Anderson","David Caruso"
"Set It Off","Takashi Bufford","F. Gray","Pinkett"
"Seven Days in May"," Bailey","John Frankenheimer","Burt Lancaster"
"The Seven Year Itch","George Axelrod","Billy Wilder","Marilyn Monroe"
"Seven Years in Tibet","Heinrich Harrer","Jean-Jacques Annaud","Brad Pitt"
"Lies Sex"," "," ",""
"Sgt. Bilko","Andy Breckman","Jonathan Lynn","Steve Martin"
"Sgt. Pepper's Lonely Hearts Club Band","Henry Edwards","Michael Schultz","Peter Frampton"
"Shade","Damian Nieman","Damian Nieman","Joe Nicolo"
"Shadow Conspiracy","Ric Gibbs","George Cosmatos","Charlie Sheen"
"Shadow of the Vampire","Steven Katz","E. Merhige","John Malkovich"
"The Shadow","Walter Gibson","Russell Mulcahy","Alec Baldwin"
"Shadows and Fog"," "," ",""
"Shaft","John Black","Gordon Parks","Richard Roundtree"
"Shaft","Richard Price","John Singleton","Samuel Jackson"
"Shakes the Clown"," "," ",""
"Shakespeare in Love","Marc Norman","John Madden","Geoffrey Rush"
"Shall We Dance","Masayuki Suo","Peter Chelsom","Richard Gere"
"Shallow Grave","John Hodge","Danny Boyle","Kerry Fox"
"Shallow Hal","Bobby Farrelly","Bobby Farrelly","Gwyneth Paltrow"
"Shanghai Knights","Alfred Gough","David Dobkin","Jackie Chan"
"Shanghai Noon","Alfred Gough","Tom Dey","Jackie Chan"
"Shanghai Surprise","Robert Bentley","Jim Goddard","Sean Penn"
"The Shape of Things","Neil LaBute","Neil LaBute","Gretchen Mol"
"Shark Tale","Scott Aukerman","Bibo Bergeron","Will Smith"
"Shattered Glass","Buzz Bissinger","Billy Ray","Hayden Christensen"
"Shaun of the Dead","Simon Pegg","Edgar Wright","Simon Pegg"
"The Shawshank Redemption","Frank Darabont","Frank Darabont","Tim Robbins"
"She Wore a Yellow Ribbon","James Bellah","John Ford","John Wayne"
"She's All That"," Fleming","Robert Iscove","Prinze"
"She's Gotta Have It","Spike Lee","Spike Lee","Tracy Johns"
"She's So Lovely","John Cassavetes","Nick Cassavetes","Sean Penn"
"She's the One","Edward Burns","Edward Burns","John Mahoney"
"Sheena","S.M. Eiger","John Guillermin","Tanya Roberts"
"Shichinin no samurai"," "," ",""
"Shine","Scott Hicks","Scott Hicks","Geoffrey Rush"
"The Shining","Diane Johnson","Stanley Kubrick","Jack Nicholson"
"The Shipping News"," "," ",""
"Shooting Fish","Richard Holmes","Stefan Schwartz","Rowena Cooper"
"Show Boat","Edna Ferber","George Sidney","Kathryn Grayson"
"Showgirls","Joe Eszterhas","Paul Verhoeven","Elizabeth Berkley"
"Showtime","Alfred Gough","Tom Dey","De"
"Shrek","Cody Cameron","Andrew Adamson","Mike Myers"
"Shrek 2","Andrew Adamson","Andrew Adamson","Mike Myers"
"Sibirskiy tsiryulnik","Rustam Ibragimbekov","Nikita Mikhalkov","Julia Ormond"
"Sid and Nancy","Alex Cox","Alex Cox","Gary Oldman"
"Sidewalks of New York","Edward Burns","Edward Burns","Penny Balfour"
"Sideways","Alexander Payne","Alexander Payne","Paul Giamatti"
"The Siege","Menno Meyjes","Edward Zwick","Denzel Washington"
"Signs","M. Shyamalan","M. Shyamalan","Mel Gibson"
"The Silence of the Lambs","Thomas Harris","Jonathan Demme","Jodie Foster"
"Silent Movie","Mel Brooks","Mel Brooks","Mel Brooks"
"Il Silenzio dei prosciutti"," "," ",""
"Silver Bullet","Stephen King","Daniel Attias","Gary Busey"
"Silverado","Lawrence Kasdan","Lawrence Kasdan","Kevin Kline"
"Simon Birch","John Irving","Mark Johnson","Joseph Mazzello"
"A Simple Plan","Scott Smith","Sam Raimi","Bill Paxton"
"Simply Irresistible","Judith Roberts","Mark Tarlov","Sarah Gellar"
"Sin City","Frank Miller","Frank Miller","Jessica Alba"
"Sinbad: Legend of the Seven Seas","John Logan","Patrick Gilmore","Brad Pitt"
"La Sindrome di Stendhal"," "," ",""
"Singin' in the Rain","Betty Comden","Stanley Donen","Gene Kelly"
"The Singing Detective","Dennis Potter","Keith Gordon","Downey"
"Sinnui yauman"," "," ",""
"Sisters"," De"," De","Margot Kidder"
"Siunin Wong Fei-hung tsi titmalau"," "," ",""
"Six Days Seven Nights","Michael Browning","Ivan Reitman","Harrison Ford"
"Six-String Samurai","Jeffrey Falcon","Lance Mungia","Jeffrey Falcon"
"Sixteen Candles","John Hughes","John Hughes","Molly Ringwald"
"The Sixth Sense","M. Shyamalan","M. Shyamalan","Bruce Willis"
"Det Sjunde inseglet"," "," ",""
"The Skulls","John Pogue","Rob Cohen","Joshua Jackson"
"Sky Captain and the World of Tomorrow","Kerry Conran","Kerry Conran","Gwyneth Paltrow"
"Slacker","Richard Linklater","Richard Linklater","Richard Linklater"
"Slackers","David Steinberg","Dewey Nicks","Devon Sawa"
"Slap Her... She's French"," "," ",""
"Sleepaway Camp","Robert Hiltzik","Robert Hiltzik","Felissa Rose"
"Sleeper","Woody Allen","Woody Allen","Woody Allen"
"Sleepers","Lorenzo Carcaterra","Barry Levinson","Kevin Bacon"
"Sleeping Beauty","Milt Banta","Clyde Geronimi","Mary Costa"
"The Sleeping Dictionary","Guy Jenkin","Guy Jenkin","Jessica Alba"
"Sleepless in Seattle","Jeff Arch","Nora Ephron","Tom Hanks"
"Sleepover","Elisa Bell","Joe Nussbaum","Alexa PenaVega"
"Sleepy Hollow","Washington Irving","Tim Burton","Johnny Depp"
"Slums of Beverly Hills","Tamara Jenkins","Tamara Jenkins","Natasha Lyonne"
"Small Soldiers","Ted Elliott","Joe Dante","David Cross"
"Small Time Crooks","Woody Allen","Woody Allen","Woody Allen"
"Smilla's Sense of Snow","Ann Biderman","Bille August","Ona Fletcher"
"Smoke","Paul Auster","Paul Auster","Giancarlo Esposito"
"Smoke Signals","Sherman Alexie","Chris Eyre","Adam Beach"
"Snake Eyes"," De"," De","Nicolas Cage"
"Snatch.","Guy Ritchie","Guy Ritchie","Del"
"Snow Day","Will McRobb","Chris Koch","Chris Elliott"
"Snow Dogs","Mark Gibson","Brian Levant","Gooding"
"Snow Falling on Cedars","Ronald Bass","Scott Hicks","Ethan Hawke"
"Snow White and the Seven Dwarfs","Dorothy Blank","William Cottrell","Roy Atwell"
"Solaris","Stanislaw Lem","Steven Soderbergh","George Clooney"
"Soldier"," "," ",""
"Some Like It Hot","I.A.L. Diamond","Billy Wilder","Marilyn Monroe"
"Someone Like You...","Elizabeth Chandler","Tony Goldwyn","Ashley Judd"
"Something Wicked This Way Comes","Ray Bradbury","Jack Clayton","Jason Robards"
"Sometimes They Come Back... Again"," "," ",""
"Somewhere in Time","Richard Matheson","Jeannot Szwarc","Christopher Reeve"
"Son of the Mask","Lance Khazei","Lawrence Guterman","Jamie Kennedy"
"The Song of Bernadette","George Seaton","Henry King","Jennifer Jones"
"Songcatcher","Maggie Greenwald","Maggie Greenwald","Janet McTeer"
"Sorcerer","Georges Arnaud","William Friedkin","Roy Scheider"
"Sorority Boys","Greg Coolidge","Wallace Wolodarsky","Barry Watson"
"Soul Food"," Tillman"," Tillman","Vanessa Williams"
"Soul Plane","Chuck Wilson","Jessy Terrero","Tom Arnold"
"Soul Survivors","Stephen Carpenter","Stephen Carpenter","Melissa Sagemiller"
"The Sound of Music","Russel Crouse","Robert Wise","Julie Andrews"
"South Pacific"," Hammerstein","Joshua Logan","Rossano Brazzi"
"South Park: Bigger Longer & Uncut","Pam Brady","Trey Parker","Trey Parker"
"Space Cowboys","Ken Kaufman","Clint Eastwood","Clint Eastwood"
"Space Jam","Leo Benvenuti","Joe Pytka","Michael Jordan"
"Space Truckers","Stuart Gordon","Stuart Gordon","Tim Loane"
"Spaceballs","Mel Brooks","Mel Brooks","Mel Brooks"
"Spacehunter: Adventures in the Forbidden Zone","Len Blum","Lamont Johnson","Peter Strauss"
"Spanglish","James Brooks","James Brooks","Adam Sandler"
"Spanking the Monkey","David Russell","David Russell","Jeremy Davies"
"Spartacus","Howard Fast","Stanley Kubrick","Kirk Douglas"
"Spawn"," "," ",""
"The Specialist","Alexandra Seros","Luis Llosa","Sylvester Stallone"
"Species","Dennis Feldman","Roger Donaldson","Ben Kingsley"
"Speed","Graham Yost"," de","Keanu Reeves"
"Speed 2: Cruise Control"," de"," de","Sandra Bullock"
"Spellbound","Frances Beeding","Alfred Hitchcock","Ingrid Bergman"
"Sphere","Paul Attanasio","Barry Levinson","Dustin Hoffman"
"Spice World","Jamie Curtis","Bob Spiers","Melanie Brown"
"Spider","Patrick McGrath","David Cronenberg","Ralph Fiennes"
"Spider-Man","Steve Ditko","Sam Raimi","Tobey Maguire"
"Spider-Man 2","Michael Chabon","Sam Raimi","Tobey Maguire"
"Spies Like Us","Dan Aykroyd","John Landis","Chevy Chase"
"The Spirit of St. Louis","Charles Lederer","Billy Wilder","James Stewart"
"Spirit: Stallion of the Cimarron","John Fusco","Kelly Asbury","Matt Damon"
"The Spitfire Grill","Lee Zlotoff","Lee Zlotoff","Alison Elliott"
"Splash","Bruce Friedman","Ron Howard","Tom Hanks"
"Split Second","Gary Thompson","Tony Maylam","Rutger Hauer"
"The SpongeBob SquarePants Movie","Derek Drymon","Stephen Hillenburg","Tom Kenny"
"Spun"," "," ",""
"Spy Game","David Arata","Tony Scott","Robert Redford"
"Spy Hard","Dick Chudnow","Rick Friedberg","Leslie Nielsen"
"Spy Kids","Robert Rodriguez","Robert Rodriguez","Antonio Banderas"
"Spy Kids 2: Island of Lost Dreams","Robert Rodriguez","Robert Rodriguez","Antonio Banderas"
"Spy Kids 3-D: Game Over","Robert Rodriguez","Robert Rodriguez","Antonio Banderas"
"The Spy Who Loved Me","Ian Fleming","Lewis Gilbert","Roger Moore"
"Stage Door","Edna Ferber"," La","Katharine Hepburn"
"Stagecoach","Ernest Haycox","John Ford","Claire Trevor"
"Stalag 17","Donald Bevan","Billy Wilder","William Holden"
"Stand by Me","Bruce Evans","Rob Reiner","Wil Wheaton"
"A Star Is Born","Alan Campbell","Jack Conway","Janet Gaynor"
"A Star Is Born","Alan Campbell","George Cukor","Judy Garland"
"A Star Is Born","Jonathan Axelrod","Frank Pierson","Barbra Streisand"
"Star Trek III: The Search for Spock","Harve Bennett","Leonard Nimoy","William Shatner"
"Star Trek IV: The Voyage Home","Harve Bennett","Leonard Nimoy","William Shatner"
"Star Trek V: The Final Frontier","Harve Bennett","William Shatner","William Shatner"
"Star Trek VI: The Undiscovered Country","Denny Flinn","Nicholas Meyer","William Shatner"
"Star Trek: First Contact","Rick Berman","Jonathan Frakes","Patrick Stewart"
"Star Trek: Generations","Rick Berman","David Carson","Patrick Stewart"
"Star Trek: Insurrection","Rick Berman","Jonathan Frakes","Patrick Stewart"
"Star Trek: Nemesis","Rick Berman","Stuart Baird","Patrick Stewart"
"Star Trek: The Motion Picture","Alan Foster","Robert Wise","William Shatner"
"Star Trek: The Wrath of Khan","Harve Bennett","Nicholas Meyer","William Shatner"
"Star Wars","George Lucas","George Lucas","Mark Hamill"
"Star Wars: Episode I - The Phantom Menace","George Lucas","George Lucas","Liam Neeson"
"Star Wars: Episode II - Attack of the Clones","Jonathan Hales","George Lucas","Ewan McGregor"
"Star Wars: Episode V - The Empire Strikes Back","Leigh Brackett","Irvin Kershner","Mark Hamill"
"Star Wars: Episode VI - Return of the Jedi","Lawrence Kasdan","Richard Marquand","Mark Hamill"
"Stardust Memories","Woody Allen","Woody Allen","Woody Allen"
"Stargate","Dean Devlin","Roland Emmerich","Kurt Russell"
"Starman","Bruce Evans","John Carpenter","Jeff Bridges"
"Starship Troopers","Robert Heinlein","Paul Verhoeven","Van"
"Starsky & Hutch","Scot Armstrong","Todd Phillips","Ben Stiller"
"The Statement","Ronald Harwood","Norman Jewison","Michael Caine"
"The Station Agent","Tom McCarthy","Tom McCarthy","Peter Dinklage"
"Stealing Harvard","Martin Hynes","Bruce McCulloch","Jason Lee"
"Steel","Jon Bogdanove","Kenneth Johnson","Shaquille O'Neal"
"The Stepford Wives","Ira Levin","Frank Oz","Nicole Kidman"
"Stepmom","Ronald Bass","Chris Columbus","Julia Roberts"
"Stigmata","Tom Lazarus","Rupert Wainwright","Patricia Arquette"
"The Sting","David Ward","George Hill","Paul Newman"
"Stir of Echoes","David Koepp","David Koepp","Zachary Cope"
"Stolen Summer","Pete Jones","Pete Jones","Aidan Quinn"
"The Story of Us","Jessie Nelson","Rob Reiner","Bruce Willis"
"The Straight Story","John Roach","David Lynch","Sissy Spacek"
"Strange Days","James Cameron","Kathryn Bigelow","Ralph Fiennes"
"Strangeland","Dee Snider","John Pieplow","Kevin Gage"
"Stranger Than Paradise"," ","Jim Jarmusch",""
"Strangers on a Train","Raymond Chandler","Alfred Hitchcock","Farley Granger"
"Straw Dogs","David Goodman","Sam Peckinpah","Dustin Hoffman"
"A Streetcar Named Desire","Oscar Saul","Elia Kazan","Vivien Leigh"
"Streets of Fire","Larry Gross","Walter Hill","Bill Murray"
"Stripes","Len Blum","Ivan Reitman","Bill Murray"
"Striptease","Andrew Bergman","Andrew Bergman","Demi Moore"
"Stuart Little","Greg Brooker","Rob Minkoff","Michael Fox"
"Stuart Little 2","Bruce Rubin","Rob Minkoff","Michael Fox"
"The Stuff","Larry Cohen","Larry Cohen","Michael Moriarty"
"The Stupids","Harry Allard","John Landis","Tom Arnold"
"Suddenly  Last Summer","Gore Vidal","Joseph Mankiewicz","Elizabeth Taylor"
"Sugar & Spice","Mandy Nelson","Francine McDougall","Marla Sokoloff"
"The Sugarland Express","Hal Barwood","Steven Spielberg","Goldie Hawn"
"Suicide Kings","Gina Goldman","Peter O'Fallon","Mark Watson"
"Sullivan's Travels","Preston Sturges","Preston Sturges","Joel McCrea"
"The Sum of All Fears","Paul Attanasio","Phil Robinson","Ian Mongrain"
"Summer Catch","Kevin Falls","Michael Tollin","Prinze"
"Summer of Sam","Victor Colicchio","Spike Lee","John Leguizamo"
"Sunset Blvd.","Charles Brackett","Billy Wilder","William Holden"
"Sunshine State","John Sayles","John Sayles","Alex Lewis"
"Super Mario Bros.","Parker Bennett","Annabel Jankel","Bob Hoskins"
"Super Size Me","Morgan Spurlock","Morgan Spurlock","Chemeeka Walker"
"Super Troopers"," "," ",""
"Supergirl","Otto Binder","Jeannot Szwarc","Faye Dunaway"
"Superman","Robert Benton","Richard Donner","Marlon Brando"
"Superman II","Tom Mankiewicz","Richard Donner","Gene Hackman"
"Superstar","Steve Koren","Bruce McCulloch","Molly Shannon"
"Surviving Picasso","Arianna Huffington","James Ivory","Anthony Hopkins"
"Suspect Zero","Zak Penn","E. Merhige","Aaron Eckhart"
"Swamp Thing","Wes Craven","Wes Craven","Louis Jourdan"
"The Swarm"," Herzog","Irwin Allen","Michael Caine"
"Sweet Charity","Federico Fellini","Bob Fosse","Shirley MacLaine"
"Sweet Home Alabama","C. Cox","Andy Tennant","Reese Witherspoon"
"Sweet November","Herman Raucher","Pat O'Connor","Keanu Reeves"
"The Sweetest Thing","Nancy Pimental","Roger Kumble","Lillian Adams"
"Swept Away","Guy Ritchie","Guy Ritchie","Bruce Greenwood"
"Swimfan","Charles Bohl","John Polson","Jesse Bradford"
"Swimming with Sharks","George Huang","George Huang","Kevin Spacey"
"Swing Time","Erwin Gelsey","George Stevens","Fred Astaire"
"Swingers","Jon Favreau","Doug Liman","Jon Favreau"
"Swiri","Je-kyu Kang","Je-kyu Kang","Suk-kyu Han"
"Switchback","Jeb Stuart","Jeb Stuart","Claudia Stedelin"
"Swordfish","Skip Woods","Dominic Sena","John Travolta"
"THX 1138","George Lucas","George Lucas","Robert Duvall"
"Tadpole"," "," ",""
"Taegukgi hwinalrimyeo","Richard Epcar","Je-kyu Kang","Dong-gun Jang"
"The Tailor of Panama","John Boorman","John Boorman","Pierce Brosnan"
"Take the Money and Run","Woody Allen","Woody Allen","Woody Allen"
"The Talented Mr. Ripley","Patricia Highsmith","Anthony Minghella","Matt Damon"
"Talk Radio","Eric Bogosian","Oliver Stone","Eric Bogosian"
"Tang shan da xiong","Wei Lo","Wei Lo","Bruce Lee"
"Tango & Cash","Randy Feldman","Andrey Konchalovskiy","Sylvester Stallone"
"Tank Girl","Jamie Hewlett","Rachel Talalay","Lori Petty"
"Targets","Peter Bogdanovich","Peter Bogdanovich","Tim O'Kelly"
"Tart","Christina Wayne","Christina Wayne","Dominique Swain"
"Tarzan","Stephen Anderson","Chris Buck","Brian Blessed"
"Taxi Driver","Paul Schrader","Martin Scorsese","Diahnne Abbott"
"Tea with Mussolini","John Mortimer","Franco Zeffirelli","(I) Cher"
"Teaching Mrs. Tingle","Kevin Williamson","Kevin Williamson","Helen Mirren"
"Team America: World Police","Pam Brady","Trey Parker","Trey Parker"
"Tears of the Sun","Patrick Cirillo","Antoine Fuqua","Bruce Willis"
"Ted Bundy","Matthew Bright","Matthew Bright","Michael Burke"
"Teen Wolf Too","Tim Kring","Christopher Leitch","Jason Bateman"
"Teenage Mutant Ninja Turtles","Kevin Eastman","Steve Barron","Judith Hoag"
"Teenage Mutant Ninja Turtles II: The Secret of the Ooze","Kevin Eastman","Michael Pressman","Paige Turco"
"Telling Lies in America","Joe Eszterhas","Guy Ferland","Kevin Bacon"
"The Temp","Tom Engelman","Tom Holland","Timothy Hutton"
"The Ten Commandments","Fredric Frank","Cecil DeMille","Charlton Heston"
"The Terminal","Sacha Gervasi","Steven Spielberg","Tom Hanks"
"Terminator 2: Judgment Day","James Cameron","James Cameron","Arnold Schwarzenegger"
"Terminator 3: Rise of the Machines","John Brancato","Jonathan Mostow","Arnold Schwarzenegger"
"The Terminator","James Cameron","James Cameron","Arnold Schwarzenegger"
"The Texas Chain Saw Massacre","Kim Henkel","Tobe Hooper","Marilyn Burns"
"The Texas Chainsaw Massacre 2","L.M. Carson","Tobe Hooper","Dennis Hopper"
"The Texas Chainsaw Massacre","Kim Henkel","Marcus Nispel","Jessica Biel"
"Texas Rangers","Scott Busby","Steve Miner","Beek Van"
"That Thing You Do!","Tom Hanks","Tom Hanks","Everett"
"Thelma & Louise","Callie Khouri","Ridley Scott","Susan Sarandon"
"There's Something About Mary","Ed Decter","Bobby Farrelly","Cameron Diaz"
"They","Brendan Hood","Robert Harmon","Laura Regan"
"They Died with Their Boots On","Lenore Coffee","Raoul Walsh","Errol Flynn"
"They Drive by Night","A.I. Bezzerides","Raoul Walsh","George Raft"
"They Live","John Carpenter","John Carpenter","Roddy Piper"
"The Thin Red Line","James Jones","Terrence Malick","Nick Nolte"
"The Thing Called Love","Carol Heikkinen","Peter Bogdanovich","River Phoenix"
"The Thing"," Campbell","John Carpenter","Kurt Russell"
"Things to Do in Denver When You're Dead","Scott Rosenberg","Gary Fleder","Andy Garcia"
"Thir13en Ghosts","Richard D'Ovidio","Steve Beck","Tony Shalhoub"
"Thirteen","Catherine Hardwicke","Catherine Hardwicke","Nikki Reed"
"Thirteen Conversations About One Thing","Jill Sprecher","Jill Sprecher","Matthew McConaughey"
"Thirteen Days","Ernest May","Roger Donaldson","Shawn Driscoll"
"The Thirteenth Floor","Ravel Centeno-Rodriguez","Josef Rusnak","Craig Bierko"
"This Island Earth","George Callahan","Joseph Newman","Jeff Morrow"
"The Thomas Crown Affair","Alan Trustman","Norman Jewison","Steve McQueen"
"The Thomas Crown Affair","Leslie Dixon","John McTiernan","Pierce Brosnan"
"Thoroughly Modern Millie","Richard Morris","George Hill","Julie Andrews"
"Those Magnificent Men in Their Flying Machines  or How I Flew from London to Paris in 25 hours 11 minutes"," "," ",""
"Three Fugitives","Francis Veber","Francis Veber","Nick Nolte"
"Three Kings","John Ridley","David Russell","George Clooney"
"Three to Tango"," Brosh","Damon Santostefano","Matthew Perry"
"Thunderball","Ian Fleming","Terence Young","Sean Connery"
"Thunderbirds","Gerry Anderson","Jonathan Frakes","Brady Corbet"
"Thunderbolt and Lightfoot","Michael Cimino","Michael Cimino","Clint Eastwood"
"The Tigger Movie","Jun Falkenstein","Jun Falkenstein","Jim Cummings"
"Time Bandits","Terry Gilliam","Terry Gilliam","John Cleese"
"The Time Machine","David Duncan","George Pal","Rod Taylor"
"The Time Machine","David Duncan","Simon Wells","Guy Pearce"
"A Time to Kill","Akiva Goldsman","Joel Schumacher","Matthew McConaughey"
"Timecode","Mike Figgis","Mike Figgis","Xander Berkeley"
"Timeline","Michael Crichton","Richard Donner","Paul Walker"
"Tin Cup","John Norville","Ron Shelton","Kevin Costner"
"Tin Men","Barry Levinson","Barry Levinson","Richard Dreyfuss"
"Titan A.E.","John August","Don Bluth","Matt Damon"
"Titanic","James Cameron","James Cameron","Leonardo DiCaprio"
"To Catch a Thief","Alec Coppel","Alfred Hitchcock","Cary Grant"
"To Die For","Buck Henry"," Van","Nicole Kidman"
"To Kill a Mockingbird","Horton Foote","Robert Mulligan","Gregory Peck"
"To Sir  with Love","E.R. Braithwaite","James Clavell","Sidney Poitier"
"Tom Jones","Henry Fielding","Tony Richardson","George Devine"
"Tomcats","Gregory Poirier","Gregory Poirier","Jerry O'Connell"
"Tommy","John Entwistle","Ken Russell","Oliver Reed"
