Title,Writer,Director,Actor,Actor.Rating,Director.Rating,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance
2 Fast 2 Furious,Michael Brandt,John Singleton,Paul Walker,1,1,2000s,107,76000000,5.1,9556,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,1,0,0,0,0,0
20 Dates,Myles Berkowitz,Myles Berkowitz,Myles Berkowitz,3,3,1990s,87,60000,5.4,841,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,R,0,0,1,0,1,1
200 Cigarettes,Shana Larsen,Risa Garcia,Ben Affleck,1,3,1990s,101,6000000,5.4,4514,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,R,0,0,1,1,0,0
20000 Leagues Under the Sea, , ,,3,3,1950s,127,5000000,7.1,2741,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0
2001: A Space Odyssey,Arthur Clarke,Stanley Kubrick,Keir Dullea,3,3,1960s,156,10500000,8.3,64982,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,34.5,,0,0,0,0,0,0
2001: A Space Travesty, Di,Allan Goldstein,Leslie Nielsen,1,3,2000s,99,26000000,2.5,2023,44.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,R,0,0,1,0,0,0
2046,Kar Wong,Kar Wong,Tony Leung,3,3,2000s,129,12000000,7.6,2663,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,R,0,0,0,1,0,1
21 Grams,Guillermo Arriaga, Gonzlez,Sean Penn,1,3,2000s,124,20000000,8,21857,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,R,0,0,0,1,0,0
25th Hour,David Benioff,Spike Lee,Edward Norton,1,1,2000s,135,15000000,7.8,15788,4.5,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,14.5,R,0,0,0,1,0,0
28 Days,Susannah Grant,Betty Thomas,Sandra Bullock,1,3,2000s,103,43000000,6,7465,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,0,1,0,0
28 Days Later...,Alex Garland,Danny Boyle,Alex Palmer,3,1,2000s,113,8000000,7.3,24174,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,0,0,0,0
3 Women,Robert Altman,Robert Altman,Shelley Duvall,1,1,1970s,124,1500000,7.7,912,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,,0,0,0,1,0,0
3000 Miles to Graceland,Demian Lichtenstein,Demian Lichtenstein,Kurt Russell,1,3,2000s,125,62000000,5.4,7298,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,R,1,0,1,0,0,0
40 Days and 40 Nights,Rob Perez,Michael Lehmann,Josh Hartnett,3,3,2000s,96,17000000,5.4,8609,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,R,0,0,1,1,0,1
42nd Street,Whitney Bolton,Lloyd Bacon,Warner Baxter,3,3,1930s,89,439000,7.5,1247,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,,0,0,0,1,0,1
The 5 000 Fingers of Dr. T.,Allan Scott,Roy Rowland,Peter Hayes,3,3,1950s,89,1600000,6.7,699,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,,0,0,0,0,0,0
50 First Dates,George Wing,Peter Segal,Adam Sandler,1,3,2000s,99,75000000,6.8,13497,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,PG-13,0,0,1,0,0,1
The 51st State,Stel Pavlou,Ronny Yu,Samuel Jackson,3,3,2000s,92,28000000,6.1,6752,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,1,0,1,0,0,0
54,Mark Christopher,Mark Christopher,Ryan Phillippe,2,3,1990s,100,13000000,5.4,6905,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,R,0,0,0,1,0,0
55 Days at Peking,Ben Barzman,Guy Green,Charlton Heston,1,3,1960s,150,17000000,6.6,700,4.5,4.5,4.5,4.5,4.5,14.5,34.5,14.5,4.5,4.5,,0,0,0,1,0,0
The 6th Day,Cormac Wibberley,Roger Spottiswoode,Arnold Schwarzenegger,1,3,2000s,123,82000000,5.9,12064,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,1,0,0,0,0,0
The 7th Voyage of Sinbad,Ray Harryhausen,Nathan Juran,Kerwin Mathews,3,3,1950s,88,650000,6.9,1224,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,,1,0,0,0,0,0
8 Mile,Scott Silver,Curtis Hanson,Marshal Mathers,3,3,2000s,110,41000000,6.8,17900,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,R,0,0,0,1,0,0
8MM,Andrew Walker,Joel Schumacher,Nicolas Cage,1,3,1990s,123,40000000,5.9,18541,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,0,0,0,0,0,0
AVP: Alien Vs. Predator, , ,,3,3,2000s,102,45000000,5.4,14651,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,1,0,0,0,0,0
Abandon,Stephen Gaghan,Stephen Gaghan,Katie Holmes,3,3,2000s,99,25000000,4.7,2364,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,0,0,0,1,0,0
Aberdeen,Kristin Amundsen,Hans Moland,Hans Moland,3,3,2000s,106,6500000,7.3,644,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,,0,0,0,1,0,0
About Schmidt,Louis Begley,Alexander Payne,Jack Nicholson,1,1,2000s,125,30000000,7.3,23279,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,R,0,0,1,1,0,0
About a Boy,Peter Hedges,Chris Weitz,Hugh Grant,1,3,2000s,101,27000000,7.5,18318,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,PG-13,0,0,1,1,0,0
Absolute Power,David Baldacci,Clint Eastwood,Clint Eastwood,1,1,1990s,121,50000000,6.4,7995,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,4.5,R,0,0,0,1,0,0
The Abyss,James Cameron,James Cameron,Ed Harris,1,1,1980s,171,69500000,7.4,21987,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG-13,1,0,0,1,0,0
Ace Ventura: Pet Detective,Jack Bernstein,Tom Shadyac,Jim Carrey,1,3,1990s,86,12000000,6.2,20705,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,PG-13,0,0,1,0,0,0
Ace Ventura: When Nature Calls,Jack Bernstein,Steve Oedekerk,Jim Carrey,1,3,1990s,90,30000000,4.9,15161,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,0
Ace in the Hole,Victor Desny,Billy Wilder,Kirk Douglas,1,1,1950s,111,1821052,7.9,1097,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,0
Adaptation.,Charlie Kaufman,Spike Jonze,Nicolas Cage,1,1,2000s,114,19000000,7.9,25140,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,0,0,1,1,0,0
The Addams Family,Charles Addams,Barry Sonnenfeld,Anjelica Huston,1,2,1990s,99,38000000,6.4,11549,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,1,0,0,0
The Adventures of Baron Munchausen, , ,,3,3,1980s,125,46630000,6.8,7927,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,1,0,0,0
The Adventures of Bob & Doug McKenzie: Strange Brew, De,Rick Moranis,Dave Thomas,3,3,1980s,90,4000000,6.6,4556,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,24.5,,0,0,1,0,0,0
The Adventures of Huck Finn,Stephen Sommers,Stephen Sommers,Elijah Wood,1,3,1990s,108,6500000,5.9,1134,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,,0,0,0,1,0,0
The Adventures of Pluto Nash,Neil Cuthbert,Ron Underwood,Eddie Murphy,1,3,2000s,95,100000000,3.9,2543,24.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,PG-13,1,0,1,0,0,0
The Adventures of Robin Hood,Rowland Leigh,Michael Curtiz,Errol Flynn,1,1,1930s,102,1900000,8.2,7359,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,PG,1,0,0,0,0,1
The Adventures of Rocky & Bullwinkle,Kenneth Lonergan,Des McAnuff,Rene Russo,3,3,2000s,88,76000000,4.3,4815,14.5,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,PG,0,1,1,0,0,0
Affliction,Russell Banks,Paul Schrader,Nick Nolte,1,3,1990s,114,6000000,6.9,3679,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,R,0,0,0,1,0,0
After Hours,Joseph Minion,Martin Scorsese,Griffin Dunne,3,1,1980s,96,4500000,7.4,5630,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,,0,0,1,0,0,0
After the Sunset,Craig Rosenberg,Brett Ratner,Pierce Brosnan,1,3,2000s,97,58000000,6,3431,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,1,0,1,0,0,0
The Age of Innocence,Jay Cocks,Martin Scorsese,Daniel Day-Lewis,1,1,1990s,139,34000000,7.1,6049,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,,0,0,0,1,0,1
Agent Cody Banks,Scott Alexander,Harald Zwart,Frankie Muniz,3,3,2000s,102,26000000,5.5,2655,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,PG,1,0,1,0,0,0
Agent Cody Banks 2: Destination London,Jeffrey Jurgensen,Kevin Allen,Frankie Muniz,3,3,2000s,100,26000000,3.8,919,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,PG,1,0,1,0,0,0
Air Bud,Kevin DiCicco,Charles Smith,Michael Jeter,3,3,1990s,98,3000000,4.7,1276,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,PG,0,0,1,1,0,0
Air Force One,Andrew Marlowe,Wolfgang Petersen,Harrison Ford,1,1,1990s,124,85000000,6.3,26156,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,1,0,0,1,0,0
Airborne,Bill Apablasa,Rob Bowman,Shane McDermott,3,3,1990s,91,2600000,5.2,1047,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,1,0,0,0
Airplane!,Jim Abrahams,Jim Abrahams,Kareem Abdul-Jabbar,3,2,1980s,88,3500000,7.8,23369,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,,0,0,1,0,0,0
Airport,Arthur Hailey,Henry Hathaway,Burt Lancaster,1,3,1970s,137,10000000,6.4,2918,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,0
Airport 1975,Arthur Hailey,Jack Smight,Charlton Heston,1,3,1970s,107,3000000,4.9,1385,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,,1,0,0,1,0,0
Aladdin,Roger Allers,Ron Clements,Scott Weinger,3,3,1990s,90,28000000,7.6,22499,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,,0,1,1,0,0,0
The Alamo,James Grant,John Wayne,John Wayne,1,3,1960s,192,12000000,6.6,2083,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,,1,0,0,1,0,0
The Alamo,Leslie Bohem,John Hancock,Dennis Quaid,1,3,2000s,137,95000000,5.9,3060,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,PG-13,1,0,0,1,0,0
An Alan Smithee Film: Burn Hollywood Burn,Joe Eszterhas,Arthur Hiller,Ryan ONeal,3,3,1990s,86,10000000,3.2,1262,34.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,R,0,0,1,0,0,0
Albino Alligator,Christian Forte,Kevin Spacey,Matt Dillon,1,3,1990s,97,5000000,6,2077,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0
Alexander,Laeta Kalogridis,Oliver Stone,Anthony Hopkins,1,1,2000s,175,150000000,5.5,11254,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,R,0,0,0,1,0,0
Alferd Packer: The Musical, , ,,3,3,1990s,97,125000,7,2298,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,R,0,0,1,0,0,1
Alfie,Bill Naughton,Lewis Gilbert,Michael Caine,1,3,1960s,114,800000,7.1,1644,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,,0,0,1,1,0,0
Alfie,Bill Naughton,Charles Shyer,Jude Law,1,3,2000s,103,60000000,6,3492,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,0,0,1,1,0,0
Ali,Gregory Howard,Michael Mann,Will Smith,1,1,2000s,165,107000000,6.4,9294,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0
Alice,Woody Allen,Woody Allen,Joe Mantegna,2,1,1990s,102,12000000,6.4,1706,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,,0,0,1,1,0,1
Alice Doesn't Live Here Anymore,Robert Getchell,Martin Scorsese,Mia Bendixsen,3,1,1970s,112,85000,7.3,2231,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,,0,0,0,1,0,0
Alice in Wonderland,Milt Banta,Clyde Geronimi,Kathryn Beaumont,3,3,1950s,75,3000000,7.2,4656,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,1,1,0,0,0
Alien,Dan O'Bannon,Ridley Scott,Tom Skerritt,3,1,1970s,116,11000000,8.3,63400,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,0,0,0,0,0,0
Alien Nation,Rockne O'Bannon,Graham Baker,James Caan,1,3,1980s,91,16000000,6,2171,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,0
Alien: Resurrection,Dan O'Bannon,Jean-Pierre Jeunet,Sigourney Weaver,1,1,1990s,116,70000000,6,24358,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,1,0,0,0,0,0
Aliens,James Cameron,James Cameron,Sigourney Weaver,1,1,1980s,154,18500000,8.3,63961,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,1,0,0,0,0,0
Alive,Piers Read,Frank Marshall,Ethan Hawke,1,3,1990s,127,32000000,6.7,5786,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,,1,0,0,1,0,0
All About the Benjamins,Cube Ice,Kevin Bray,Cube Ice,3,3,2000s,95,14000000,5.4,1250,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,R,1,0,1,0,0,0
All Quiet on the Western Front,George Abbott,Lewis Milestone,Louis Wolheim,3,2,1930s,147,1200000,8.2,6835,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,1,0,0,1,0,0
All the President's Men,Carl Bernstein,Alan Pakula,Dustin Hoffman,1,3,1970s,138,8500000,8,12724,4.5,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,14.5,,0,0,0,1,0,0
All the Pretty Horses,Cormac McCarthy,Billy Thornton,Matt Damon,1,3,2000s,116,45000000,5.6,3133,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,PG-13,0,0,0,1,0,0
All the Real Girls,David Green,David Green,Paul Schneider,3,3,2000s,108,1000000,6.8,1745,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,R,0,0,0,1,0,1
Alligator,Frank Perilli,Lewis Teague,Robert Forster,3,3,1980s,89,1000000,5.5,1032,4.5,4.5,4.5,14.5,14.5,14.5,24.5,4.5,4.5,4.5,,0,0,1,0,0,0
Almost Famous,Cameron Crowe,Cameron Crowe,Billy Crudup,2,1,2000s,162,60000000,8,38648,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,0,0,1,1,0,0
Alone in the Dark,Elan Mastai,Uwe Boll,Christian Slater,2,2,2000s,96,20000000,2.1,2880,64.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,R,1,0,0,0,0,0
Along Came Polly,John Hamburg,John Hamburg,Ben Stiller,1,3,2000s,90,42000000,5.8,9785,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,1
Along Came a Spider,Marc Moss,Lee Tamahori,Morgan Freeman,1,2,2000s,104,28000000,6.1,9456,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0
Always,Jerry Belson,Steven Spielberg,Richard Dreyfuss,1,1,1980s,106,29500000,6.2,4913,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,1
Amadeus,Peter Shaffer,Milos Forman,F. Abraham,3,3,1980s,180,18000000,8.3,36955,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,R,0,0,0,1,0,0
America's Sweethearts,Billy Crystal,Joe Roth,Julia Roberts,1,3,2000s,102,48000000,5.8,11849,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,1
American Beauty,Alan Ball,Sam Mendes,Kevin Spacey,1,1,1990s,121,15000000,8.5,109991,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,R,0,0,0,1,0,0
American Gigolo,Paul Schrader,Paul Schrader,Richard Gere,1,3,1980s,117,4800000,5.7,2469,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,4.5,,0,0,0,1,0,1
American Graffiti,Willard Huyck,George Lucas,Richard Dreyfuss,1,1,1970s,110,777000,7.6,12758,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,1,1,0,0
American History X,David McKenna,Tony Kaye,Edward Norton,1,3,1990s,119,10000000,8.4,59677,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,0,0,0,1,0,0
American Me,Floyd Mutrux,Edward Olmos,Sal Lopez,3,3,1990s,125,16000000,6.6,697,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,4.5,14.5,,0,0,0,1,0,0
American Ninja 2: The Confrontation,Gideon Amir,Sam Firstenberg,Michael Dudikoff,2,3,1980s,90,350000,3.7,641,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,14.5,,1,0,0,1,0,0
American Outlaws,John Rogers,Les Mayfield,Colin Farrell,1,3,2000s,94,35000000,5.5,2878,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,PG-13,1,0,1,0,0,0
American Pie,Adam Herz,Chris Weitz,Jason Biggs,3,3,1990s,95,11000000,6.8,41126,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,1,0,0,0
American Pie 2,Adam Herz,J.B. Rogers,Jason Biggs,3,3,2000s,105,30000000,6.3,22752,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,0,0,1,0,0,0
The American President,Aaron Sorkin,Rob Reiner,Michael Douglas,1,1,1990s,114,62000000,6.9,11834,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG-13,0,0,1,1,0,1
American Psycho,Bret Ellis,Mary Harron,Christian Bale,1,3,2000s,102,8000000,6.8,21639,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,0,1,0,0
American Wedding,Adam Herz,Jesse Dylan,Jason Biggs,3,3,2000s,103,55000000,6.3,13590,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,0,0,1,0,0,0
An American Werewolf in London,John Landis,John Landis,Joe Belcher,3,1,1980s,92,10000000,7.2,8347,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,1,0,0,1
An American Werewolf in Paris,Tim Burns,Anthony Waller,Everett,3,3,1990s,105,22000000,5,4302,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,R,0,0,1,0,0,1
An American in Paris,Alan Lerner,Vincente Minnelli,Gene Kelly,1,1,1950s,113,2723903,7.4,3736,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,0,0,1
Amistad,David Franzoni,Steven Spielberg,Morgan Freeman,1,1,1990s,152,40000000,7,10543,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,0,1,0,0
The Amityville Horror,Jay Anson,Andrew Douglas,Ryan Reynolds,2,3,2000s,90,18000000,5.8,2945,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,24.5,R,0,0,0,0,0,0
Amores perros,Guillermo Arriaga,Guillermo Arriaga,Everett,3,3,2000s,153,2000000,8.2,15079,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,0,0,0,1,0,0
